# Time (Myr)     rI [kpc]       vI [km/s]     
  4.6026e+02   8.5941e+00   8.3971e+00
  4.6143e+02   8.6041e+00   8.3710e+00
  4.6261e+02   8.6142e+00   8.3471e+00
  4.6379e+02   8.6242e+00   8.3265e+00
  4.6498e+02   8.6343e+00   8.3129e+00
  4.6617e+02   8.6444e+00   8.3250e+00
  4.6735e+02   8.6545e+00   8.3413e+00
  4.6853e+02   8.6645e+00   8.3286e+00
  4.6970e+02   8.6745e+00   8.3043e+00
  4.7087e+02   8.6844e+00   8.2866e+00
  4.7205e+02   8.6944e+00   8.2748e+00
  4.7323e+02   8.7044e+00   8.2591e+00
  4.7442e+02   8.7144e+00   8.2599e+00
  4.7560e+02   8.7244e+00   8.2739e+00
  4.7678e+02   8.7343e+00   8.2659e+00
  4.7795e+02   8.7442e+00   8.2404e+00
  4.7912e+02   8.7541e+00   8.2134e+00
  4.8029e+02   8.7639e+00   8.1890e+00
  4.8147e+02   8.7737e+00   8.1677e+00
  4.8265e+02   8.7836e+00   8.1585e+00
  4.8384e+02   8.7935e+00   8.1696e+00
  4.8501e+02   8.8033e+00   8.1753e+00
  4.8618e+02   8.8131e+00   8.1573e+00
  4.8735e+02   8.8228e+00   8.1318e+00
  4.8852e+02   8.8325e+00   8.1085e+00
  4.8969e+02   8.8422e+00   8.0881e+00
  4.9087e+02   8.8519e+00   8.0710e+00
  4.9205e+02   8.8617e+00   8.0782e+00
  4.9323e+02   8.8714e+00   8.0956e+00
  4.9440e+02   8.8811e+00   8.0866e+00
  4.9556e+02   8.8907e+00   8.0634e+00
  4.9673e+02   8.9003e+00   8.0408e+00
  4.9790e+02   8.9099e+00   8.0206e+00
  4.9907e+02   8.9195e+00   8.0206e+00
